date,option-ret,if-ret,if-ret-var,option-ret-var,option-price(shi1)
2024-05-07 09:30:00,0.0,0.0,0.0,0.00129817,0.0739
2024-05-07 09:31:00,-0.0230041,0.0,0.0,0.00129817,0.0722
2024-05-07 09:32:00,-0.0351827,-0.000550297,1.73,0.00129817,0.0713
2024-05-07 09:33:00,-0.0460081,-0.000770416,3.31667,0.00129817,0.0705
2024-05-07 09:34:00,-0.0514208,-0.000880475,3.32917,0.00129817,0.0701
2024-05-07 09:35:00,-0.0338295,-0.000385208,2.976,0.00129817,0.0714
2024-05-07 09:36:00,-0.00541272,0.000385208,3.631,0.00129817,0.0735
2024-05-07 09:37:00,0.00541272,0.000935505,4.74,0.00129817,0.0743
2024-05-07 09:38:00,0.0270636,0.00154083,7.89875,0.00129817,0.0759
2024-05-07 09:39:00,0.0757781,0.00291657,14.9467,0.00129817,0.0795
2024-05-07 09:40:00,0.0784844,0.0029716,22.3819,0.00129817,0.0797
2024-05-07 09:41:00,0.0852503,0.00319172,28.1211,0.00129817,0.0802
2024-05-07 09:42:00,0.0906631,0.00324675,32.5835,0.00129817,0.0806
2024-05-07 09:43:00,0.0703654,0.00269646,33.9862,0.00129817,0.0791
2024-05-07 09:44:00,0.0568336,0.00242131,33.4249,0.00129817,0.0781
2024-05-07 09:45:00,0.0798376,0.00308166,33.136,0.00129817,0.0798
2024-05-07 09:46:00,0.0554804,0.00236628,32.6952,0.00129817,0.078
2024-05-07 09:47:00,0.0433018,0.00192604,31.0846,0.00129817,0.0771
2024-05-07 09:48:00,0.0554804,0.00225622,29.6447,0.00129817,0.078
2024-05-07 09:49:00,0.052774,0.00220119,28.366,0.00129817,0.0778
2024-05-07 09:50:00,0.0405954,0.00176095,27.0268,0.00129817,0.0769
2024-05-07 09:51:00,0.0730717,0.00275149,26.0477,0.00129817,0.0793
2024-05-07 09:52:00,0.0757781,0.00291657,25.8279,0.00129817,0.0795
2024-05-07 09:53:00,0.0744249,0.0029716,25.6389,0.00129817,0.0794
2024-05-07 09:54:00,0.0852503,0.00302663,25.4723,0.00129817,0.0802
2024-05-07 09:55:00,0.082544,0.00291657,25.1875,0.00129817,0.08
2024-05-07 09:56:00,0.0757781,0.0029716,24.8514,0.00129817,0.0795
2024-05-07 09:57:00,0.0920162,0.00330178,24.739,0.00129817,0.0807
2024-05-07 09:58:00,0.0879567,0.00319172,24.6831,0.00129817,0.0804
2024-05-07 09:59:00,0.0690122,0.00275149,24.2605,0.00129817,0.079
2024-05-07 10:00:00,0.0635995,0.00264143,23.6941,0.00129817,0.0786
2024-05-07 10:01:00,0.052774,0.00225622,23.021,0.00129817,0.0778
2024-05-07 10:02:00,0.0541272,0.00231125,22.3086,0.00129817,0.0779
2024-05-07 10:03:00,0.067659,0.00269646,21.7136,0.00129817,0.0789
2024-05-07 10:04:00,0.0568336,0.00236628,21.1493,0.00129817,0.0781
2024-05-07 10:05:00,0.052774,0.00242131,20.5861,0.00129817,0.0778
2024-05-07 10:06:00,0.052774,0.00247634,20.0654,0.00129817,0.0778
2024-05-07 10:07:00,0.0257104,0.00170592,19.5392,0.00129817,0.0758
2024-05-07 10:08:00,0.00135318,0.000880475,19.2373,0.00129817,0.074
2024-05-07 10:09:00,0.00270636,0.000880475,19.325,0.00129817,0.0741
2024-05-07 10:10:00,-0.0175913,0.000385208,19.4312,0.00129817,0.0726
2024-05-07 10:11:00,-0.00270636,0.000770416,19.5585,0.00129817,0.0737
2024-05-07 10:12:00,-0.0135318,0.000660357,19.5192,0.00129817,0.0729
2024-05-07 10:13:00,0.00135318,0.00110059,19.3996,0.00129817,0.074
2024-05-07 10:14:00,0.00947226,0.00121065,19.0763,0.00129817,0.0746
2024-05-07 10:15:00,0.0189445,0.00159586,18.7126,0.00129817,0.0753
2024-05-07 10:16:00,0.0284168,0.00170592,18.3084,0.00129817,0.076
2024-05-07 10:17:00,0.0392422,0.00220119,17.9224,0.00129817,0.0768
2024-05-07 10:18:00,0.0405954,0.00209113,17.573,0.00129817,0.0769
2024-05-07 10:19:00,0.0202977,0.00165089,17.2152,0.00129817,0.0754
2024-05-07 10:20:00,0.014885,0.0014858,16.8897,0.00129817,0.075
2024-05-07 10:21:00,0.00811908,0.00126568,16.6229,0.00129817,0.0745
2024-05-07 10:22:00,-0.00270636,0.000935505,16.4525,0.00129817,0.0737
2024-05-07 10:23:00,-0.00541272,0.000935505,16.3086,0.00129817,0.0735
2024-05-07 10:24:00,0.00270636,0.00110059,16.1401,0.00129817,0.0741
2024-05-07 10:25:00,0.0067659,0.00126568,15.9336,0.00129817,0.0744
2024-05-07 10:26:00,0.0121786,0.00143077,15.7106,0.00129817,0.0748
2024-05-07 10:27:00,0.014885,0.00154083,15.455,0.00129817,0.075
2024-05-07 10:28:00,0.00811908,0.00137574,15.216,0.00129817,0.0745
2024-05-07 10:29:00,0.014885,0.0014858,14.9842,0.00129817,0.075
2024-05-07 10:30:00,-0.00135318,0.00115562,14.7951,0.00129817,0.0738
2024-05-07 10:31:00,0.00811908,0.00121065,14.6236,0.00129817,0.0745
2024-05-07 10:32:00,-0.00947226,0.000825446,14.518,0.00129817,0.0732
2024-05-07 10:33:00,0.0135318,0.00143077,14.366,0.00129817,0.0749
